review,sentiment
missed R mt kick to low L leg,0
missed L jab,0
missed R mt kick to low L leg,0
lands L mt kick to L leg,1
"missed L jab, missed R cross",0
"lands L mt kick to L leg, missed R cross to face",1
holding R leg hold starts,0
holding R leg hold continues,0
holding R leg hold continues,0
holding R leg hold continues misses R cross to face,0
loses R leg hold,0
lands R mt kick to L low leg,1
"misses L jab to face, misses R cross to face",0
"misses L jab to face, misses R cross to face",0
misses L jab to face ,0
attempts body waste takedown,0
lands takedown,1
caught in full guard hold,0
caught in full guard hold,0
caught in full guard hold,0
caught in full guard hold,0
caught in full guard hold,0
caught in full guard hold and puts weight on L shoulder collarbone acromian process while lifting off L leg to break full guard,0
caught in full guard hold,0
caught in full guard hold and twisting with R armpit and R leg anchoring into L locked thigh at the inside knee,0
"caught in full guard hold and grabbing at L ear with R hand while twisting and lifting out of full guard lock, gains L arm back, breaks full guard lock at ankles",0
breaks full guard hold and standing up while keeping L shin of opponent at chest and bent,0
holding L knee hold starts of opponent while standing up and maneuvering around L side of opponent pushing forward to knock off balance a possible up kick of opponent,0
caught in open guard hold continues and misses downward R hook to head while pushing and twisting L and holding L knee hold continues,0
caught in open guard hold continues and lands downward R cross to head while pushing opponent's leg toward her and turning L and loses L knee hold,2
caught in open guard hold continues and lands L downward cross to face while getting out of open guard completely,1
caught in open guard hold continues  ,0
caught in open guard hold continues and holding R foot while opponent in open guard,0
caught in open guard hold contnues and moves open guard feet to her R while landing R downward cross to face,1
breaks open guard hold and falls on ground to the side of opponent,0
getting up while attempting a head R arm guillotine of opponent as holding guillotine hold starts,0
locks guillotine around R armpit and neck of opponent while standing full guard lock and holding guillotine hold continues,0
holding guillotine hold continues,0
holding guillotine hold continues,0
takedown of opponent in full guard while holding of guillotine hold continues,0
holding guillotine hold continues,0
holding full guard hold starts and holding guillotine hold continues,0
holding guillotine hold continues,0
holding guillotine hold continues,0
holding guillotine hold continues,0
loses guillotine hold and loses full guard hold,0
push kicks opponent off ,0
getting up while L foot being held by opponent,0
getting up from ground,0
holding R arm hold starts and caught in upper body hold,0
holding R arm hold starts and caught in upper body hold,0
holding R arm hold starts and caught in upper body hold,0
holding R arm hold starts and caught in upper body hold,0
holding R arm hold starts and caught in upper body hold,0
holding R arm hold starts and caught in upper body hold,0
holding R arm hold starts and caught in upper body hold,0
holding R arm hold starts and caught in upper body hold,0
holding R arm hold starts and caught in upper body hold,0
holding R arm hold starts and caught in upper body hold,0
holding R arm hold starts and caught in upper body hold,0
holding R arm hold starts and caught in upper body hold,0
holding R arm hold starts and caught in upper body hold,0
holding R arm hold starts and caught in upper body hold,0
holding R arm hold starts and caught in upper body hold,0
holding R arm hold starts and caught in upper body hold,0
holding R arm hold starts and caught in upper body hold,0
holding R arm hold starts and caught in upper body hold,0
caught in R arm hold and caught in upper body hold continues and moves opponent away from side standing control against cage,0
holding R arm hold starts and caught in upper body hold,0
holding R arm hold starts and caught in upper body hold,0
holding R arm hold starts and caught in upper body hold,0
holding R arm hold starts and caught in upper body hold,0
holding R arm hold starts and caught in upper body hold,0
holding R arm hold starts and caught in upper body hold,0
holding R arm hold starts and caught in upper body hold,0
loses R arm hold and caught in upper body hold,0
holding neck hold starts and caught in upper body hold,0
breaks upper body hold to switch sides,0
caught in upper body hold and holding R arm hold starts,0
breaks upper body hold and loses R arm hold and lands a R leg to L leg of opponent sweeping takedown,1
lands slight double leg takedown,1
not on the ground but leaning over opponent,0
"caught in open guard hold  and lands downward R cross to face, lands downward L cross to face, lands downward R cross to face",3
caught in open guard hold  and lands downward R cross to face,1
caught in open guard hold  and lands downward R cross to face,1
caught in open guard hold ,0
caught in open guard hold ,0
caught in open guard hold ,0
caught in open guard hold  and breaks into opponents open guard hold  against cage and lands R downward cross to head,1
"caught in open guard hold  and lands downward R cross to head, lands downward R cross to head",2
caught in open guard hold ,0
caught in open guard hold ,0
caught in open guard hold ,0
caught in open guard hold ,0
caught in open guard hold ,0
caught in open guard hold ,0
caught in open guard hold ,0
caught in open guard hold ,0
caught in open guard hold ,0
caught in open guard hold  and lands R downward cross to head,1
caught in open guard hold  and lands R downward cross to head,1
caught in open guard hold ,0
caught in open guard hold ,0
caught in open guard hold ,0
caught in open guard hold ,0
caught in open guard hold ,0
