review,sentiment
missed L jab,0
"missed R cross, missed L jab",0
missed L jab,0
missed R cross ,0
missed L mt kick to low leg,0
misses R cross,0
misses L jab,0
lands R push kick to upper body,1
lands L mt kick to inside leg,1
misses L jab to face,0
missed R cross,0
misses attempted clinch,0
misses L hook,0
misses L jab to face,0
misses L mt kick to upper body and caught in L foot hold,0
breaks L foot hold,0
lands L jab to body,1
misses body takedown,0
holding upper body hold starts and caught in L arm hold,0
holding upper body hold starts and caught in L arm hold,0
holding upper body hold starts and caught in L arm hold,0
holding upper body hold starts and caught in L arm hold,0
holding upper body hold starts and caught in L arm hold,0
holding upper body hold starts and caught in L arm hold,0
holding upper body hold starts and caught in L arm hold,0
holding upper body hold starts and caught in L arm hold,0
holding upper body hold starts and caught in L arm hold,0
holding upper body hold starts and caught in L arm hold,0
holding upper body hold starts and caught in L arm hold,0
holding upper body hold starts and caught in L arm hold,0
holding upper body hold starts and caught in L arm hold,0
holding upper body hold starts and caught in L arm hold,0
holding upper body hold starts and caught in L arm hold,0
holding upper body hold starts and caught in L arm hold,0
holding upper body hold starts and caught in L arm hold,0
holding upper body hold starts and caught in L arm hold,0
holding upper body hold starts and caught in L arm hold,0
holding upper body hold starts and caught in L arm hold,0
holding upper body hold starts and caught in L arm hold,0
holding upper body hold starts and caught in L arm hold,0
holding upper body hold starts and caught in L arm hold,0
holding upper body hold starts and caught in L arm hold,0
holding upper body hold starts and caught in L arm hold,0
holding upper body hold starts and caught in L arm hold,0
holding upper body hold starts and caught in L arm hold,0
holding upper body hold starts and caught in L arm hold,0
holding upper body hold starts and caught in L arm hold,0
holding upper body hold starts and caught in L arm hold,0
breaks L arm hold and caught in R arm hold while holding upper body continues,0
caught in R arm hold while holding upper body hold,0
caught in R arm hold while holding upper body hold,0
lands L knee to back of L leg while caught in R arm hold while holding upper body hold,1
caught in R arm hold while holding upper body hold,0
caught in R arm hold while holding upper body hold,0
caught in R arm hold while holding upper body hold,0
caught in R arm hold while holding upper body hold,0
caught in R arm hold while holding upper body hold,0
caught in R arm hold while holding upper body hold,0
