Round,SecondsIntoRound,SecondsLastRoundAction,cmTotHitsR-X1,cmTotHitsL-X1,cmTotHitsM-X1,Hits-Recvd-X1,Hits-Lnd-X1,Hits-Mssd-X1,cmTotHitsR-X2,cmTotHitsL-X2,cmTotHitsM-X2,Hits-Recvd-X2,Hits-Lnd-X2,Hits-Mssd-X2,Time,FighterActionReactions.X1,FightersActionsReactions.X2,Notes
1,,,,,,,,,,,,,,,5:00,,,Zarah
1,,,,,,,,,,,,,,,4:59,,,Zarah
1,,,,,,,,,,,,,,,4:58,,,Zarah
1,,,,,,,,,,,,,,,4:57,,,Zarah
1,,,,,,,,,,,,,,,4:56,,,Zarah
1,,,,,,,,,,,,,,,4:55,missed L jab,,Zarah
1,,,,,,,,,,,,,,,4:54,,missed R cross,Zarah
1,,,,,,,,,,,,,,,4:53,,,Zarah
1,,,,,,,,,,,,,,,4:52,,,Zarah
1,,,,,,,,,,,,,,,4:51,,,Zarah
1,,,,,,,,,,,,,,,4:50,,missed R cross,Zarah
1,,,,,,,,,,,,,,,4:49,,,Zarah
1,,,,,,,,,,,,,,,4:48,"missed R cross, missed L jab",,Zarah
1,,,,,,,,,,,,,,,4:47,,,Zarah
1,,,,,,,,,,,,,,,4:46,missed L jab,,Zarah
1,,,,,,,,,,,,,,,4:45,,,Zarah
1,,,,,,,,,,,,,,,4:44,,,Zarah
1,,,,,,,,,,,,,,,4:43,,,Zarah
1,,,,,,,,,,,,,,,4:42,,,Zarah
1,,,,,,,,,,,,,,,4:41,,,Zarah
1,,,,,,,,,,,,,,,4:40,missed R cross ,missed L cross,Zarah
1,,,,,,,,,,,,,,,4:39,,missed L hook,Zarah
1,,,,,,,,,,,,,,,4:38,,,Zarah
1,,,,,,,,,,,,,,,4:37,,,Zarah
1,,,,,,,,,,,,,,,4:36,missed L mt kick to low leg,,Zarah
1,,,,,,,,,,,,,,,4:35,,,Zarah
1,,,,,,,,,,,,,,,4:34,,,Zarah
1,,,,,,,,,,,,,,,4:33,,,Zarah
1,,,,,,,,,,,,,,,4:32,,misses L jab,Zarah
1,,,,,,,,,,,,,,,4:31,misses R cross,,Zarah
1,,,,,,,,,,,,,,,4:30,,,Zarah
1,,,,,,,,,,,,,,,4:29,,missed L jab,Zarah
1,,,,,,,,,,,,,,,4:28,,,Zarah
1,,,,,,,,,,,,,,,4:27,,,Zarah
1,,,,,,,,,,,,,,,4:26,,,Zarah
1,,,,,,,,,,,,,,,4:25,,,Zarah
1,,,,,,,,,,,,,,,4:24,,,Zarah
1,,,,,,,,,,,,,,,4:23,,,Zarah
1,,,,,,,,,,,,,,,4:22,misses L jab,misses L jab,Zarah
1,,,,,,,,,,,,,,,4:21,lands R push kick to upper body,,Zarah
1,,,,,,,,,,,,,,,4:20,,,Zarah
1,,,,,,,,,,,,,,,4:19,lands L mt kick to inside leg,,Zarah
1,,,,,,,,,,,,,,,4:18,misses L jab to face,missed L hook to face,Zarah
1,,,,,,,,,,,,,,,4:17,,,Zarah
1,,,,,,,,,,,,,,,4:16,,,Zarah
1,,,,,,,,,,,,,,,4:15,,,Zarah
