Round,SecondsIntoRound,SecondsLastRoundAction,cmTotHitsR-X1,cmTotHitsL-X1,cmTotHitsM-X1,Hits-Recvd-X1,Hits-Lnd-X1,Hits-Mssd-X1,cmTotHitsR-X2,cmTotHitsL-X2,cmTotHitsM-X2,Hits-Recvd-X2,Hits-Lnd-X2,Hits-Mssd-X2,Time,FighterActionReactions.X1,FightersActionsReactions.X2,Notes
1,,,,,,,,,,,,,,,5:00,,,Germaine
1,,,,,,,,,,,,,,,4:59,,,Germaine
1,,,,,,,,,,,,,,,4:58,,,Germaine
1,,,,,,,,,,,,,,,4:57,,,Germaine
1,,,,,,,,,,,,,,,4:56,,,Germaine
1,,,,,,,,,,,,,,,4:55,,,Germaine
1,,,,,,,,,,,,,,,4:54,,,Germaine
1,,,,,,,,,,,,,,,4:53,missed R mt kick to low L leg,,Germaine
1,,,,,,,,,,,,,,,4:52,,,Germaine
1,,,,,,,,,,,,,,,4:51,,,Germaine
1,,,,,,,,,,,,,,,4:50,,,Germaine
1,,,,,,,,,,,,,,,4:49,,,Germaine
1,,,,,,,,,,,,,,,4:48,missed L jab,,Germaine
1,,,,,,,,,,,,,,,4:47,,missed L mt kick to L low leg,Germaine
1,,,,,,,,,,,,,,,4:46,,,Germaine
1,,,,,,,,,,,,,,,4:45,missed R mt kick to low L leg,,Germaine
1,,,,,,,,,,,,,,,4:44,,,Germaine
1,,,,,,,,,,,,,,,4:43,,,Germaine
1,,,,,,,,,,,,,,,4:42,,,Germaine
1,,,,,,,,,,,,,,,4:41,lands L mt kick to L leg,,Germaine
1,,,,,,,,,,,,,,,4:40,"missed L jab, missed R cross",lands L mt kick to L leg,Germaine
1,,,,,,,,,,,,,,,4:39,,,Germaine
1,,,,,,,,,,,,,,,4:38,,,Germaine
1,,,,,,,,,,,,,,,4:37,,,Germaine
1,,,,,,,,,,,,,,,4:36,,,Germaine
1,,,,,,,,,,,,,,,4:35,,,Germaine
1,,,,,,,,,,,,,,,4:34,,,Germaine
1,,,,,,,,,,,,,,,4:33,,,Germaine
1,,,,,,,,,,,,,,,4:32,,,Germaine
1,,,,,,,,,,,,,,,4:31,,,Germaine
1,,,,,,,,,,,,,,,4:30,,,Germaine
1,,,,,,,,,,,,,,,4:29,,,Germaine
1,,,,,,,,,,,,,,,4:28,"lands L mt kick to L leg, missed R cross to face",,Germaine
1,,,,,,,,,,,,,,,4:27,,,Germaine
1,,,,,,,,,,,,,,,4:26,,,Germaine
1,,,,,,,,,,,,,,,4:25,,lands L mt kick to L low leg,Germaine
1,,,,,,,,,,,,,,,4:24,,,Germaine
1,,,,,,,,,,,,,,,4:23,,,Germaine
1,,,,,,,,,,,,,,,4:22,,,Germaine
1,,,,,,,,,,,,,,,4:21,,,Germaine
1,,,,,,,,,,,,,,,4:20,,,Germaine
1,,,,,,,,,,,,,,,4:19,holding R leg hold starts,caught in R leg hold and missed L mt kick to body,Germaine
1,,,,,,,,,,,,,,,4:18,holding R leg hold continues,caught in R leg hold   ,Germaine
1,,,,,,,,,,,,,,,4:17,holding R leg hold continues,caught in R leg hold,Germaine
1,,,,,,,,,,,,,,,4:16,holding R leg hold continues misses R cross to face,caught in R leg hold,Germaine
1,,,,,,,,,,,,,,,4:15,loses R leg hold,breaks R leg hold,Germaine
1,,,,,,,,,,,,,,,4:14,,,Germaine
1,,,,,,,,,,,,,,,4:13,,,Germaine
1,,,,,,,,,,,,,,,4:12,lands R mt kick to L low leg,misses R cross to face,Germaine
1,,,,,,,,,,,,,,,4:11,,,Germaine
1,,,,,,,,,,,,,,,4:10,,,Germaine
1,,,,,,,,,,,,,,,4:09,,,Germaine
1,,,,,,,,,,,,,,,4:08,,misses L jab to face,Germaine
1,,,,,,,,,,,,,,,4:07,,,Germaine
1,,,,,,,,,,,,,,,4:06,,,Germaine
1,,,,,,,,,,,,,,,4:05,,,Germaine
1,,,,,,,,,,,,,,,4:04,,,Germaine
1,,,,,,,,,,,,,,,4:03,,,Germaine
1,,,,,,,,,,,,,,,4:02,,,Germaine
1,,,,,,,,,,,,,,,4:01,,,Germaine
1,,,,,,,,,,,,,,,4:00,,,Germaine
1,,,,,,,,,,,,,,,3:59,,,Germaine
1,,,,,,,,,,,,,,,3:58,,,Germaine
1,,,,,,,,,,,,,,,3:57,,,Germaine
1,,,,,,,,,,,,,,,3:56,,,Germaine
1,,,,,,,,,,,,,,,3:55,,,Germaine
1,,,,,,,,,,,,,,,3:54,,,Germaine
1,,,,,,,,,,,,,,,3:53,,,Germaine
1,,,,,,,,,,,,,,,3:52,,,Germaine
1,,,,,,,,,,,,,,,3:51,,,Germaine
1,,,,,,,,,,,,,,,3:50,,,Germaine
1,,,,,,,,,,,,,,,3:49,,,Germaine
1,,,,,,,,,,,,,,,3:48,"misses L jab to face, misses R cross to face",,Germaine
1,,,,,,,,,,,,,,,3:47,,,Germaine
